Sentence,Answer,Group,Item,ArgumentVariation,Transitive,Grammatical
"Podnikatel hájil firmu před soudem.",TRUE,A,9_TG,hájit-1,TRUE,TRUE
"Podnikatel se hájil firmu před soudem.",FALSE,B,9_TA,hájit-1,TRUE,FALSE
"Podnikatel se hájil před soudem.",TRUE,C,9_RG,hájit-1,FALSE,TRUE
"Podnikatel hájil před soudem.",FALSE,D,9_RA,hájit-1,FALSE,FALSE
"Kuchař naklonil hrnec nad umyvadlo.",TRUE,B,2_TG,naklonit-1,TRUE,TRUE
"Kuchař se naklonil hrnec nad umyvadlo.",FALSE,C,2_TA,naklonit-1,TRUE,FALSE
"Kuchař se naklonil nad umyvadlo.",TRUE,D,2_RG,naklonit-1,FALSE,TRUE
"Kuchař naklonil nad umyvadlo.",FALSE,A,2_RA,naklonit-1,FALSE,FALSE
"Učitel oddělil děti od skupiny.",TRUE,C,11_TG,oddělit-1,TRUE,TRUE
"Učitel se oddělil děti od skupiny.",FALSE,D,11_TA,oddělit-1,TRUE,FALSE
"Učitel se oddělil od skupiny.",TRUE,A,11_RG,oddělit-1,FALSE,TRUE
"Učitel oddělil od skupiny.",FALSE,B,11_RA,oddělit-1,FALSE,FALSE
"Asistent ohlásil návštěvu v telefonu.",TRUE,D,10_TG,ohlásit-1,TRUE,TRUE
"Asistent se ohlásil návštěvu v telefonu.",FALSE,A,10_TA,ohlásit-1,TRUE,FALSE
"Asistent se ohlásil v telefonu.",TRUE,B,10_RG,ohlásit-1,FALSE,TRUE
"Asistent ohlásil v telefonu.",FALSE,C,10_RA,ohlásit-1,FALSE,FALSE
"Plavec ponořil hlavu pod vodu.",TRUE,A,1_TG,ponořit-1,TRUE,TRUE
"Plavec se ponořil hlavu pod vodu.",FALSE,B,1_TA,ponořit-1,TRUE,FALSE
"Plavec se ponořil pod vodu.",TRUE,C,1_RG,ponořit-1,FALSE,TRUE
"Plavec ponořil pod vodu.",FALSE,D,1_RA,ponořit-1,FALSE,FALSE
"Dědeček probudil vnuka v devět hodin.",TRUE,B,8_TG,probudit-1,TRUE,TRUE
"Dědeček se probudil vnuka v devět hodin.",FALSE,C,8_TA,probudit-1,TRUE,FALSE
"Dědeček se probudil v devět hodin.",TRUE,D,8_RG,probudit-1,FALSE,TRUE
"Dědeček probudil v devět hodin.",FALSE,A,8_RA,probudit-1,FALSE,FALSE
"Dělník přestěhoval nábytek do bytu.",TRUE,C,3_TG,přestěhovat-1,TRUE,TRUE
"Dělník se přestěhoval nábytek do bytu.",FALSE,D,3_TA,přestěhovat-1,TRUE,FALSE
