Sentence,Answer,Item
"Podnikatel hájil firmu před soudem.",TRUE,9_TG
"Podnikatel se hájil firmu před soudem.",FALSE,9_TA
"Podnikatel se hájil před soudem.",TRUE,9_RG
"Podnikatel hájil před soudem.",FALSE,9_RA
"Kuchař naklonil hrnec nad umyvadlo.",TRUE,2_TG
"Kuchař se naklonil hrnec nad umyvadlo.",FALSE,2_TA
"Kuchař se naklonil nad umyvadlo.",TRUE,2_RG
"Kuchař naklonil nad umyvadlo.",FALSE,2_RA
"Učitel oddělil děti od skupiny.",TRUE,11_TG
"Učitel se oddělil děti od skupiny.",FALSE,11_TA
"Učitel se oddělil od skupiny.",TRUE,11_RG
"Učitel oddělil od skupiny.",FALSE,11_RA
"Asistent ohlásil návštěvu v telefonu.",TRUE,10_TG
"Asistent se ohlásil návštěvu v telefonu.",FALSE,10_TA
"Asistent se ohlásil v telefonu.",TRUE,10_RG
"Asistent ohlásil v telefonu.",FALSE,10_RA
"Plavec ponořil hlavu pod vodu.",TRUE,1_TG
"Plavec se ponořil hlavu pod vodu.",FALSE,1_TA
"Plavec se ponořil pod vodu.",TRUE,1_RG
"Plavec ponořil pod vodu.",FALSE,1_RA
"Dědeček probudil vnuka v devět hodin.",TRUE,8_TG
"Dědeček se probudil vnuka v devět hodin.",FALSE,8_TA
"Dědeček se probudil v devět hodin.",TRUE,8_RG
"Dědeček probudil v devět hodin.",FALSE,8_RA
"Dělník přestěhoval nábytek do bytu.",TRUE,3_TG
"Dělník se přestěhoval nábytek do bytu.",FALSE,3_TA
"Dělník se přestěhoval do bytu.",TRUE,3_RG
"Dělník přestěhoval do bytu.",FALSE,3_RA
"Herec rozesmál publikum po představení.",TRUE,4_TG
"Herec se rozesmál publikum po představení.",FALSE,4_TA
"Herec se rozesmál po představení.",TRUE,4_RG
"Herec rozesmál po představení.",FALSE,4_RA
"Generál spojil síly s nepřítelem.",TRUE,16_TG
"Generál se spojil síly s nepřítelem.",FALSE,16_TA
"Generál se spojil s nepřítelem.",TRUE,16_RG
"Generál spojil s nepřítelem.",FALSE,16_RA
"Trenér stáhl fotbalistu z hřiště.",TRUE,12_TG
"Trenér se stáhl fotbalistu z hřiště.",FALSE,12_TA
"Trenér se stáhl z hřiště.",TRUE,12_RG
"Trenér stáhl z hřiště.",FALSE,12_RA
"Číšník trápil hosty hladem.",TRUE,13_TG
"Číšník se trápil hosty hladem.",FALSE,13_TA
