Column1,lemma,reflexivity,total_ipm,is_sem_compatible,is_anticausative,uses_double_accusative,is_visual,refl.bias,comment,solution,Column4
9,dopustit,0.606351108448173,33.102413751056,TRUE,FALSE,FALSE,FALSE,high,není refl alternace,opraveno,
13,hájit,0.245963912630579,20.8848661952439,TRUE,FALSE,FALSE,FALSE,low,ok,ok,
19,hýbat,0.687869822485207,26.8151368432761,TRUE,FALSE,FALSE,FALSE,high,hýbat něčím vs hýbat se > ins [asi ok],ok,
21,chytat,0.206010452961672,22.7690658994681,TRUE,FALSE,FALSE,TRUE,low,muselo by být ve dvojici chytat/chytit/chytnout se za hlavu vs chytit někoho za hlavu,asi vynecham,
22,chytit,0.210106382978723,70.8459088788329,TRUE,FALSE,FALSE,TRUE,low,muselo by být ve dvojici chytat/chytit/chytnout se za hlavu vs chytit někoho za hlavu,asi vynecham,
23,chytnout,0.244771863117871,20.8650325141468,TRUE,FALSE,FALSE,TRUE,low,muselo by být ve dvojici chytat/chytit/chytnout se za hlavu vs chytit někoho za hlavu,asi vynecham,
28,lámat,0.236476783149832,20.7162799059185,TRUE,FALSE,FALSE,FALSE,low,s refl bude spíš antikauzativum,opraveno,
30,líbat,0.255674518201285,23.1558226808616,TRUE,FALSE,FALSE,TRUE,low,s refl bude nejspíš primárně reciproční (líbat se s někým spíš než líbat se (= sám sebe) na ruku,anotace reciprocity,
33,naklonit,0.716154032453378,40.9466346249582,TRUE,FALSE,FALSE,TRUE,high,naklonit něco? funguje to v nerefl užití takhle?,ok, Naklonila hlavu ke straně a pátravě se na něj zadívala . ,
35,natáčet,0.228648892905558,21.9459681339386,TRUE,FALSE,FALSE,FALSE,low,smysly “otáčet na stranu” a “filmovat” můžou být problém, ale jinak ok,ok,
39,obejít,0.608712715855573,50.5362194354049,TRUE,FALSE,FALSE,TRUE,high,jiné významy – obejít se bez něčeho,asi vynecham,
42,obracet,0.68422619047619,33.3205842431241,TRUE,FALSE,FALSE,FALSE,high,obrátit se (na posteli) vs obrátit se na někoho,asi vynecham,
45,oddělit,0.210106382978723,26.1011243237806,TRUE,FALSE,FALSE,FALSE,low,ok,ok,
48,odhadovat,0.27,33.7172578650661,TRUE,FALSE,FALSE,FALSE,low,jak vypadají výskytu s refl? bude spíš antikauzativum myslel bych,opraveno,
53,ohlásit,0.21780388612742899,21.9459681339386,TRUE,FALSE,FALSE,FALSE,low,ok,ok,
54,omezovat,0.282615337610755,32.4578191154004,TRUE,FALSE,FALSE,FALSE,low,asi ok,ok,
55,omluvit,0.761816838995569,26.8548042054703,TRUE,FALSE,FALSE,FALSE,high,ok,ok,
57,opřít,0.757915831663327,49.4850343372587,TRUE,FALSE,TRUE,TRUE,high,obtížná kompatibilita objektů s životností (jestli problém, k diskuzi),ok, anotace zivotnosti,
58,orientovat,0.641879562043796,21.7377144824191,TRUE,FALSE,FALSE,FALSE,high,jak vypadají výskyty bez refl?,asi vynechám, tranzitivní témeř pouze v pasivní konstrukci ,
59,otáčet,0.62246835443038,31.3372161334144,TRUE,FALSE,FALSE,FALSE,high,ins [ok],ins [ok],
63,označovat,0.229127432517263,63.1901079753532,TRUE,FALSE,FALSE,FALSE,low,jak vypadají výskyty s refl?,opraveno, refl. vyskyty antikauzativní,
64,pěstovat,0.263106796116505,30.6430372950159,TRUE,FALSE,FALSE,FALSE,low,pěstovat se spíš jako antikauzativum?,opraveno,
